Map Level Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Design Config,,,,,Metadata,,,,,,,Gameplay Data,,,,,,,Estimate,,Target,,Report,,,,,,,,,,,
1,25,1_25,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":10},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Super Hard,1,1,0,,,,",,,,,,,,,",,0;2;1;1;0;;,"~,,,,,,,,,~",0,,00:00:00,,00:04:30,45%,,,,,,,,,277,46.63%,00:04:30,45.00%
2,1,2_1,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:05:30,75%,,,,,,,,,316,76.17%,00:05:30,75.00%
2,2,2_2,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,60%,,,,,,,,,170,61.91%,00:03:00,60.00%
2,3,2_3,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,75%,,,,,,,,,219,75.86%,00:03:30,75.00%
2,4,2_4,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,137,97.40%,00:02:30,95.00%
2,5,2_5,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:04:30,55%,,,,,,,,,264,56.80%,00:04:30,55.00%
2,6,2_6,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,95,98.17%,00:01:30,100.00%
2,7,2_7,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,172,96.86%,00:03:00,95.00%
2,8,2_8,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,168,95.42%,00:03:00,95.00%
2,9,2_9,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:04:30,75%,,,,,,,,,279,77.08%,00:04:30,75.00%
2,10,2_10,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:05:30,55%,,,,,,,,,333,55.37%,00:05:30,55.00%
2,11,2_11,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:00,95%,,,,,,,,,122,94.88%,00:02:00,95.00%
2,12,2_12,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:00,95%,,,,,,,,,121,94.88%,00:02:00,95.00%
2,13,2_13,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:05:00,55%,,,,,,,,,294,56.19%,00:05:00,55.00%
2,14,2_14,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,90%,,,,,,,,,174,92.12%,00:03:00,90.00%
2,15,2_15,,,,,,Normal,Super Hard,1,1,0,,,,,,0;2;1;1;0;;,~~,,,00:00:00,,00:04:00,45%,,,,,,,,,242,47.39%,00:04:00,45.00%
2,16,2_16,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,182,94.47%,00:03:00,95.00%
2,17,2_17,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,222,96.15%,00:03:30,95.00%
2,18,2_18,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,173,96.95%,00:03:00,95.00%
2,19,2_19,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,85%,,,,,,,,,178,86.71%,00:03:00,85.00%
2,20,2_20,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:04:00,70%,,,,,,,,,251,69.60%,00:04:00,70.00%
2,21,2_21,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,156,97.69%,00:02:30,100.00%
2,22,2_22,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:00,95%,,,,,,,,,128,96.96%,00:02:00,95.00%
2,23,2_23,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:04:00,70%,,,,,,,,,246,71.02%,00:04:00,70.00%
2,24,2_24,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,215,96.55%,00:03:30,95.00%
2,25,2_25,,,,,,Normal,Super Hard,1,1,0,,,,,,0;2;1;1;0;;,~~,,,00:00:00,,00:04:30,70%,,,,,,,,,277,72.06%,00:04:30,70.00%
3,1,3_1,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,101,98.77%,00:01:30,100.00%
3,2,3_2,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,85%,,,,,,,,,172,85.57%,00:03:00,85.00%
3,3,3_3,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,180,93.53%,00:03:00,95.00%
3,4,3_4,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,85%,,,,,,,,,181,85.61%,00:03:00,85.00%
3,5,3_5,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:05:30,55%,,,,,,,,,324,56.69%,00:05:30,55.00%
3,6,3_6,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,150,97.13%,00:02:30,95.00%
3,7,3_7,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,130,97.58%,00:02:00,100.00%
3,8,3_8,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,258,91.64%,00:04:30,90.00%
3,9,3_9,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,160,98.32%,00:02:30,100.00%
3,10,3_10,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:05:30,75%,,,,,,,,,335,73.00%,00:05:30,75.00%
3,11,3_11,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,107,98.63%,00:02:00,100.00%
3,12,3_12,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,178,97.83%,00:03:00,100.00%
3,13,3_13,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,218,96.56%,00:03:30,95.00%
3,14,3_14,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,198,96.52%,00:03:30,95.00%
3,15,3_15,,,,,,Normal,Super Hard,1,1,0,,,,,,0;2;1;1;0;;,~~,,,00:00:00,,00:07:00,55%,,,,,,,,,423,53.15%,00:07:00,55.00%
3,16,3_16,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,204,97.48%,00:03:30,95.00%
3,17,3_17,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,85%,,,,,,,,,205,83.59%,00:03:30,85.00%
3,18,3_18,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,55%,,,,,,,,,215,54.12%,00:03:30,55.00%
3,19,3_19,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:06:00,85%,,,,,,,,,364,87.16%,00:06:00,85.00%
3,20,3_20,,,,,,Normal,Hard,1,1,0,,,,,,0;1;1;1;0;;,~~,,,00:00:00,,00:08:30,50%,,,,,,,,,504,49.49%,00:08:30,50.00%
3,21,3_21,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:00,70%,,,,,,,,,190,71.81%,00:03:00,70.00%
3,22,3_22,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:02:30,90%,,,,,,,,,150,88.94%,00:02:30,90.00%
3,23,3_23,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,104,98.84%,00:01:30,100.00%
3,24,3_24,,,,,,Normal,Normal,1,1,0,,,,,,0;0;1;1;0;;,~~,,,00:00:00,,00:03:30,75%,,,,,,,,,202,74.45%,00:03:30,75.00%
3,25,3_25,,,,,,Normal,Super Hard,1,1,0,,,,,,0;2;1;1;0;;,~~,,,00:00:00,,00:05:30,60%,,,,,,,,,328,59.10%,00:05:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,153,98.14%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,144,98.61%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,266,90.07%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,158,98.21%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,45%,,,,,,,,,297,42.52%,00:05:00,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,95%,,,,,,,,,104,97.09%,00:01:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,171,97.87%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,112,98.68%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,203,91.43%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,40%,,,,,,,,,368,41.19%,00:06:00,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,143,97.72%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,85%,,,,,,,,,271,84.20%,00:04:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,192,97.73%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,219,92.50%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,40%,,,,,,,,,432,39.33%,00:07:00,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,178,97.98%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,90%,,,,,,,,,237,91.78%,00:04:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,80%,,,,,,,,,303,79.54%,00:05:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,216,97.44%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,300,72.20%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,144,98.34%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,65%,,,,,,,,,295,66.64%,00:05:00,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,161,98.53%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,70%,,,,,,,,,280,68.04%,00:04:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,45%,,,,,,,,,289,45.86%,00:05:00,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,100,98.17%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,164,97.65%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,88,98.86%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,174,97.94%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,50%,,,,,,,,,442,49.02%,00:07:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,183,98.19%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,149,98.59%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:09:00,85%,,,,,,,,,551,86.72%,00:09:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,145,98.79%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,40%,,,,,,,,,276,41.78%,00:04:30,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,178,98.31%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,334,65.38%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,191,94.25%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,187,97.80%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,50%,,,,,,,,,306,49.84%,00:05:00,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,178,95.11%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,123,98.67%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,196,97.57%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,234,96.15%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,60%,,,,,,,,,319,58.42%,00:05:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,225,93.35%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,332,67.45%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,303,70.88%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,228,94.14%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,25%,,,,,,,,,505,27.01%,00:08:30,25.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,85%,,,,,,,,,360,86.55%,00:06:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,126,98.16%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,85%,,,,,,,,,308,85.02%,00:05:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,214,96.49%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,45%,,,,,,,,,456,46.02%,00:07:30,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,157,96.92%,00:02:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,165,94.86%,00:02:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,165,98.75%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,90%,,,,,,,,,254,87.51%,00:04:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,45%,,,,,,,,,257,43.09%,00:04:30,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,158,98.49%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,90%,,,,,,,,,142,91.81%,00:02:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,192,95.42%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,202,98.10%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,70%,,,,,,,,,344,69.33%,00:05:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,183,98.39%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,96,98.85%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,75%,,,,,,,,,195,77.44%,00:03:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,167,99.08%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,55%,,,,,,,,,392,55.17%,00:06:30,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,238,94.00%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,90%,,,,,,,,,331,88.73%,00:05:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,80%,,,,,,,,,232,81.67%,00:04:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,235,95.35%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:00,35%,,,,,,,,,474,34.76%,00:08:00,35.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,182,98.14%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,85%,,,,,,,,,279,86.52%,00:04:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,45%,,,,,,,,,342,44.26%,00:05:30,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,95%,,,,,,,,,375,95.58%,00:06:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:00,50%,,,,,,,,,491,48.04%,00:08:00,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,90%,,,,,,,,,330,88.82%,00:05:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,286,69.62%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,240,96.74%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,297,72.05%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,30%,,,,,,,,,415,32.19%,00:07:00,30.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,95%,,,,,,,,,377,96.37%,00:06:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,189,94.12%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,110,98.13%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,75%,,,,,,,,,260,75.52%,00:04:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,75%,,,,,,,,,355,76.76%,00:06:00,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,216,97.94%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,95%,,,,,,,,,298,96.13%,00:05:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,208,96.99%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,60%,,,,,,,,,250,59.30%,00:04:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,55%,,,,,,,,,346,54.33%,00:06:00,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,232,95.21%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,70%,,,,,,,,,384,71.11%,00:06:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,100%,,,,,,,,,258,97.54%,00:04:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,272,91.52%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,70%,,,,,,,,,525,72.40%,00:08:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,196,98.65%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,80%,,,,,,,,,294,78.71%,00:05:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,122,98.39%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,238,96.00%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,40%,,,,,,,,,439,39.20%,00:07:30,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,95%,,,,,,,,,278,93.01%,00:04:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,235,93.73%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,240,97.44%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,164,97.23%,00:02:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:10:30,50%,,,,,,,,,625,50.71%,00:10:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,205,94.81%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,265,91.26%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,228,96.70%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,209,94.48%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,40%,,,,,,,,,390,37.99%,00:06:30,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,193,97.84%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,212,96.44%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,210,97.36%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,224,89.31%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,50%,,,,,,,,,453,50.95%,00:07:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,203,95.63%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,213,96.40%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,174,93.93%,00:03:00,95.00%
